YEAR,MAT,BALLS,RUNS,WKTS,BBM,AVE,ECON,SR,4W,5W
Career,120,2742,3378,145,45204,23.3,7.39,18.91,2,1
2022,14,320,383,15,05-Oct,25.53,7.18,21.33,0,1
2021,14,330,410,21,Mar-36,19.52,7.45,15.71,0,0
2020,15,360,404,27,Apr-14,14.96,6.73,13.33,2,0
2019,16,370,409,19,Mar-20,21.52,6.63,19.47,0,0
2018,14,324,372,17,Mar-15,21.88,6.88,19.05,0,0
2017,16,356,439,20,03-Jul,21.95,7.39,17.8,0,0
2016,14,312,406,15,Mar-13,27.06,7.8,20.8,0,0
2015,4,90,184,3,Jan-38,61.33,12.26,30,0,0
2014,11,238,301,5,Feb-22,60.2,7.58,47.6,0,0
2013,2,42,70,3,Mar-32,23.33,10,14,0,0
